feature,abs_mean,share
USREC,0.24242849344564107,0.2870687377896948
INDPRO,0.15196524338964795,0.1799477857892631
S&P500,0.13189352478603958,0.15618010550171565
OILPRICEx,0.08772172298713957,0.10387460622611146
TB3MS,0.06269257985160914,0.07423665226388296
RPI,0.056151193886398866,0.06649075001560126
CPIAUCSL,0.05366289931858355,0.06354426641262549
DPCERA3M086SBEA,0.023199081086661202,0.027470908352288635
M2SL,0.020927935082799935,0.02478155856754168
BUSLOANS,0.013853648935543672,0.016404629081275088
