feature,shap_abs_mean,shap_abs_std,n_windows
USREC,0.15579210377402433,0.04982827302262469,417
RPI,0.09635103771481508,0.035175356742961815,417
S&P500,0.08876645328821592,0.01906015452417155,417
INDPRO,0.07483850904981562,0.02187213033748462,417
TB3MS,0.030478233783583965,0.011438154205719487,417
CPIAUCSL,0.029205174007189853,0.00974024807080119,417
BUSLOANS,0.025801681240475313,0.009751511283027911,417
OILPRICEx,0.02095532932000628,0.011339554785439498,417
M2SL,0.01147644487718813,0.0073248667066914495,417
DPCERA3M086SBEA,0.007318741541625444,0.008825813527434112,417
