feature,LGBM,LGBM_LAGS,LINREG,LINREG_LAGS,RIDGE,RIDGE_LAGS
BUSLOANS,0.016181192714660002,0.009229868815512788,0.02695813211356459,0.0399496658147202,0.025801681240475313,0.03383591125461166
CPIAUCSL,0.019923562922998003,0.020110899862140375,0.03905962586636398,0.022438235206296907,0.029205174007189853,0.02349050251066829
DPCERA3M086SBEA,0.010003697008981793,0.005414637556818421,0.02446690637558586,0.025659987281215393,0.007318741541625444,0.007256674569780468
INDPRO,0.09612810956412632,0.10546747371339867,0.06762475084463918,0.09326171209593778,0.07483850904981562,0.08574369479182174
M2SL,0.034321722471859765,0.04091992004398209,0.016947100287021035,0.012496650518647191,0.01147644487718813,0.012161155776058556
OILPRICEx,0.011399306839103018,0.0036367216492122845,0.03900232608164129,0.03538466605978751,0.02095532932000628,0.02133196471664507
RPI,0.09173005133177997,0.06767549088220623,0.12905048281146883,0.12361973936326842,0.09635103771481508,0.09735024924025944
S&P500,0.06773804805688208,0.09647281008211424,0.14572617887799436,0.148760075331631,0.08876645328821592,0.09345942079349513
TB3MS,0.096225916626835,0.12288531651460761,0.024945604447691266,0.016112920186104693,0.030478233783583965,0.026560417260570342
UNRATE_lag12,,0.1859833512815602,,0.09810290561001424,,0.07196124043303952
USREC,0.11878680540927104,0.12005423621470468,0.24319701581988634,0.25552554142326434,0.15579210377402433,0.1689440081986959
