feature,shap_min,shap_q25,shap_median,shap_q75,shap_max,n_points
S&P500,-0.25717957581691114,-0.0281925722455255,0.01776421799235131,0.05692128916273036,0.1764065578052876,417
OILPRICEx,-0.19817051911350622,-0.035731945990672136,0.0068047859512244974,0.03974718908396299,0.21872418376643338,417
RPI,-0.06416631631773292,-0.007989613361473984,0.0011912508846370158,0.009454394756838493,0.05999898644829292,417
BUSLOANS,-0.10914430352332946,-0.01889375497216351,0.00028738146476355096,0.024654153317709974,0.11532991339970906,417
CPIAUCSL,-0.14569850822511182,-0.025454830309611213,-3.7581269668109516e-05,0.02536860985701918,0.14727485063757118,417
M2SL,-0.0325859308083239,-0.0075636720130016905,-0.0020473820459063208,0.0035325888729645107,0.026392105571265076,417
DPCERA3M086SBEA,-0.16727185373080675,-0.02407305437244679,-0.002722600465095369,0.019306129171853245,0.13208552111570218,417
UNRATE_lag12,-0.05609933331561504,-0.012249927574770374,-0.006094185074885754,0.0062172999248834475,0.08084541816515114,417
TB3MS,-0.3180534031399532,-0.04182604755804437,-0.010097229687149498,0.01043318187637073,0.31465655322671615,417
INDPRO,-0.5018452084096496,-0.11362667746385266,-0.04112589814558481,0.04222442547939135,0.7401418956358812,417
USREC,-0.0889027768568707,-0.0889027768568707,-0.0889027768568707,-0.0889027768568707,0.6519536969503852,417
