series,ADF stat,p-value,usedlag(ADF),nobs,verdict
RPI,-7.1653270193706255,5.953320634135907e-09,20,775,Stationary
INDPRO,-6.790842206513575,4.1775472295551904e-08,21,774,Stationary
TB3MS,-6.2345149146950956,6.969272999212909e-07,21,774,Stationary
S&P 500,-6.219263766207558,7.515379202576243e-07,21,774,Stationary
OILPRICEx,-6.0820920001774965,1.4742039498897247e-06,21,774,Stationary
DPCERA3M086SBEA,-5.823919266964679,5.108819203534788e-06,18,777,Stationary
UNRATE,-5.65608957748527,1.1238894173318096e-05,13,773,Stationary
BUSLOANS,-5.336080570265613,4.8165545752282996e-05,20,775,Stationary
M2SL,-5.262880103258963,6.654754368908267e-05,19,776,Stationary
CPIAUCSL,-3.6095051468385226,0.029051878695083494,20,775,Stationary
