,EXP_LGBM_LAGS,EXP_LGBM_LAGS,EXP_LGBM_LAGS,EXP_LGBM_LAGS,EXP_LGBM_LAGS
,βˢ,p-value,sig,Γˢ,Γˢ_std
UNRATE_lag12,2.1352,0.0,***,0.2305,0.3137
TB3MS,0.2115,0.7258,,0.2101,0.0902
USREC,3.7082,0.0,***,0.1374,0.1487
S&P500,0.5134,0.5577,,0.1257,0.1871
INDPRO,0.1869,0.6644,,0.0902,0.2574
M2SL,-0.4521,0.4492,,0.0789,0.1898
RPI,-3.5454,0.0143,**,0.0369,0.0926
BUSLOANS,-0.3361,0.8364,,0.0319,0.0632
CPIAUCSL,-1.3413,0.1619,,0.0295,0.0749
OILPRICEx,2.2834,0.3724,,0.021,0.0467
DPCERA3M086SBEA,0.5057,0.9198,,0.0081,0.0233
