,EXP_LIN_LAGS,EXP_LIN_LAGS,EXP_LIN_LAGS,EXP_LIN_LAGS,EXP_LIN_LAGS
,βˢ,p-value,sig,Γˢ,Γˢ_std
USREC,1.0648,0.0089,***,0.3031,0.271
INDPRO,0.372,0.5625,,0.178,0.1831
S&P500,-0.7315,0.0787,*,0.1387,0.1184
OILPRICEx,0.3232,0.6831,,0.0955,0.0903
RPI,0.0298,0.98,,0.071,0.0754
TB3MS,1.7946,0.0534,*,0.0631,0.0748
CPIAUCSL,-0.9512,0.3859,,0.0521,0.0511
UNRATE_lag12,-7.627,0.0083,***,0.0348,0.0344
DPCERA3M086SBEA,5.231,0.0883,*,0.0223,0.0224
BUSLOANS,14.0112,0.0006,***,0.0217,0.0196
M2SL,-0.3521,0.9026,,0.0196,0.0175
