,EXP_RIDGE_LAGS,EXP_RIDGE_LAGS,EXP_RIDGE_LAGS,EXP_RIDGE_LAGS,EXP_RIDGE_LAGS
,βˢ,p-value,sig,Γˢ,Γˢ_std
USREC,1.7467,0.0089,***,0.2864,0.2561
INDPRO,0.5005,0.5625,,0.2051,0.2109
S&P500,-1.4647,0.0787,*,0.1073,0.0916
TB3MS,1.8728,0.0534,*,0.0938,0.1112
OILPRICEx,0.5712,0.6831,,0.0838,0.0792
CPIAUCSL,-1.2952,0.3859,,0.0592,0.0582
DPCERA3M086SBEA,3.6322,0.0883,*,0.0497,0.05
BUSLOANS,9.7358,0.0006,***,0.0484,0.0437
UNRATE_lag12,-13.8328,0.0083,***,0.0297,0.0294
RPI,0.1398,0.98,,0.0235,0.0249
M2SL,0.8214,0.9026,,0.013,0.0116
