,Ridge (lags),Ridge (lags),Ridge (lags),Ridge (lags),Ridge (lags)
,βˢ,p-value,sig,Γˢ,Γˢ_std
USREC,1.755,0.0087,***,0.2865,0.2563
INDPRO,0.5006,0.5625,,0.2051,0.2111
S&P500,-1.4491,0.0817,*,0.1076,0.0915
TB3MS,1.8582,0.0559,*,0.0941,0.111
OILPRICEx,0.575,0.681,,0.0841,0.0792
CPIAUCSL,-1.2594,0.4009,,0.0592,0.0582
DPCERA3M086SBEA,3.6219,0.0892,*,0.0501,0.05
BUSLOANS,9.6762,0.0006,***,0.0481,0.0441
UNRATE_lag12,-13.8346,0.0082,***,0.0286,0.0303
RPI,0.0939,0.9866,,0.0235,0.0249
M2SL,0.8177,0.903,,0.0131,0.0116
